date,searches
2007-01,4
2007-02,7
2007-03,4
2007-04,10
2007-05,5
2007-06,3
2007-07,2
2007-08,1
2007-09,4
2007-10,4
2007-11,4
2007-12,5
2008-01,5
2008-02,6
2008-03,3
2008-04,5
2008-05,4
2008-06,1
2008-07,1
2008-08,1
2008-09,2
2008-10,4
2008-11,7
2008-12,4
2009-01,5
2009-02,13
2009-03,9
2009-04,6
2009-05,7
2009-06,4
2009-07,3
2009-08,4
2009-09,4
2009-10,6
2009-11,6
2009-12,4
2010-01,5
2010-02,4
2010-03,6
2010-04,4
2010-05,5
2010-06,4
2010-07,3
2010-08,2
2010-09,2
2010-10,5
2010-11,2
2010-12,1
2011-01,6
2011-02,5
2011-03,3
2011-04,3
2011-05,2
2011-06,1
2011-07,1
2011-08,2
2011-09,1
2011-10,2
2011-11,3
2011-12,2
2012-01,1
2012-02,3
2012-03,2
2012-04,3
2012-05,1
2012-06,1
2012-07,6
2012-08,3
2012-09,2
2012-10,3
2012-11,5
2012-12,17
2013-01,56
2013-02,30
2013-03,26
2013-04,100
2013-05,19
2013-06,8
2013-07,4
2013-08,3
2013-09,6
2013-10,4
2013-11,6
2013-12,4
2014-01,4
2014-02,4
2014-03,4
2014-04,5
2014-05,4
2014-06,4
2014-07,2
2014-08,3
2014-09,3
2014-10,4
2014-11,4
2014-12,3
2015-01,4
2015-02,3
2015-03,3
2015-04,3
2015-05,2
2015-06,3
2015-07,2
2015-08,2
2015-09,3
2015-10,12
2015-11,6
2015-12,12
2016-01,10
2016-02,5
2016-03,4
2016-04,4
2016-05,3
2016-06,39
2016-07,6
2016-08,5
2016-09,4
2016-10,4
2016-11,4
2016-12,2
2017-01,2
2017-02,4
2017-03,3
2017-04,3
2017-05,1
2017-06,1
2017-07,1
2017-08,1
2017-09,1
2017-10,12
2017-11,6
2017-12,2
2018-01,2
2018-02,21
2018-03,27
2018-04,7
2018-05,6
