year,month,total,resid
2008,1,940265,-681952.8
2008,2,1019190,-770252.1
2008,3,1039060,-822006.4
2008,4,938134,-660212.1
2008,5,884577,-555257.1
2008,6,817800,-593680.2
2008,7,888974,-553458.6
2008,8,954908,-559492.6
2008,9,970748,-550479.3
2008,10,1181383,-536614.1
2008,11,1527621,-376573.1
2008,12,1521580,-700676.1
2009,1,1211967,95630.19
2009,2,1256515,-27046.19
2009,3,1341386,-13799.44
2009,4,1221082,128616.8
2009,5,1018465,84511.89
2009,6,963165,57565.79
2009,7,962684,26132.34
2009,8,1069981,61461.34
2009,9,1086755,71408.67
2009,10,1225664,13547.89
2009,11,1216451,-181862.1
2009,12,1400208,-316167.2
2010,1,1111556,-32747.73
2010,2,1236788,-74740.11
2010,3,1290685,-92467.36
2010,4,1225887,105454.9
2010,5,1009046,47125.98
2010,6,997406,63839.87
2010,7,1061881,97362.42
2010,8,1081394,44907.42
2010,9,1138946,95632.76
2010,10,1359117,119034
2010,11,1285969,-140311
2010,12,1511251,-233091.1
2011,1,1311602,-461.1495
2011,2,1462200,-17087.53
2011,3,1436532,-114379.8
2011,4,1338681,50489.48
2011,5,1218736,89056.56
2011,6,1156522,55196.45
2011,7,1146395,14117.01
2011,8,1299306,95060.01
2011,9,1243378,32305.34
2011,10,1330527,-77315.44
2011,11,1526192,-67847.44
2011,12,1852968,-59133.51
2012,1,1367727,-149920.3
2012,2,1733151,48279.34
2012,3,1713535,-42960.91
2012,4,1414779,-78996.66
2012,5,1303972,-31291.58
2012,6,1288813,-18096.69
2012,7,1288246,-49616.13
2012,8,1513166,103335.9
2012,9,1449446,32789.2
2012,10,1603244,-10182.58
2012,11,1996284,196660.4
2012,12,2774141,6.56E+05
2013,1,2481655,9.72E+05
2013,2,2297138,6.20E+05
2013,3,2195478,4.47E+05
2013,4,1700895,215327.2
2013,5,1422646,95590.31
2013,6,1268996,-29705.8
2013,7,1269998,-59656.24
2013,8,1406664,5041.759
2013,9,1390725,-17723.91
2013,10,1677346,72127.31
2013,11,1804042,12626.31
2013,12,2031178,-78299.76
2014,1,1648809,-39689.9
2014,2,2072297,216573.7
2014,3,2474818,547470.5
2014,4,1732080,67452.73
2014,5,1474649,-31466.19
2014,6,1373673,-104088.3
2014,7,1392246,-116467.7
2014,8,1536615,-44066.75
2014,9,1445826,-141682.4
2014,10,1594143,-190135.2
2014,11,1795493,-174982.2
2014,12,2299619,11081.74
2015,1,1761703,-107292.6
2015,2,1846708,-189511.9
2015,3,1999541,-108303.2
2015,4,1696255,-148868.9
2015,5,1569096,-117515.9
2015,6,1517014,-141244
2015,7,1587710,-101500.4
2015,8,1734239,-26939.41
2015,9,1785086,17080.92
2015,10,1967570,2795.145
2015,11,2234871,83899.14
2015,12,3306435,837401.1
2016,1,2538652,916434.3
2016,2,2603227,813784.9
2016,3,2507513,646446.6
2016,4,2134410,536063.9
2016,5,1859080,419245.9
2016,6,2121693,710212.8
2016,7,2185520,743087.4
2016,8,1835093,320692.4
2016,9,1981896,460668.7
2016,10,2324740,606742.9
2016,11,2552584,648389.9
2016,12,2761141,538884.9
