year,month,total,resid
2008,1,940265,-25118.98
2008,2,1019190,-128082.6
2008,3,1039060,-203742.3
2008,4,938134,-57716.98
2008,5,884577,32962.9
2008,6,817800,30910.65
2008,7,888974,75241.52
2008,8,954908,16408.15
2008,9,970748,42918.53
2008,10,1181383,75043.02
2008,11,1527621,240289.9
2008,12,1521580,-99113.89
2009,1,1211967,139076.1
2009,2,1256515,1735.528
2009,3,1341386,-8923.187
2009,4,1221082,117724.1
2009,5,1018465,59343.98
2009,6,963165,68768.73
2009,7,962684,41444.61
2009,8,1069981,23974.23
2009,9,1086755,51418.61
2009,10,1225664,11817.11
2009,11,1216451,-178387
2009,12,1400208,-327992.8
2010,1,1111556,10698.18
2010,2,1236788,-45958.39
2010,3,1290685,-87591.1
2010,4,1225887,94562.18
2010,5,1009046,21958.07
2010,6,997406,75042.82
2010,7,1061881,112674.7
2010,8,1081394,7420.318
2010,9,1138946,75642.7
2010,10,1359117,117303.2
2010,11,1285969,-136835.9
2010,12,1511251,-244916.7
2011,1,1311602,42984.77
2011,2,1462200,11694.19
2011,3,1436532,-109503.5
2011,4,1338681,39596.77
2011,5,1218736,63888.65
2011,6,1156522,66399.4
2011,7,1146395,29429.28
2011,8,1299306,57572.9
2011,9,1243378,12315.28
2011,10,1330527,-79046.23
2011,11,1526192,-64372.35
2011,12,1852968,-70959.14
2012,1,1367727,-107549.4
2012,2,1733151,75986
2012,3,1713535,-39159.71
2012,4,1414779,-90964.43
2012,5,1303972,-57534.54
2012,6,1288813,-7968.793
2012,7,1288246,-35378.92
2012,8,1513166,64773.71
2012,9,1449446,11724.08
2012,10,1603244,-12988.42
2012,11,1996284,199060.5
2012,12,2774141,6.44E+05
2013,1,2481655,1.02E+06
2013,2,2297138,657532
2013,3,2195478,460342
2013,4,1700895,2.13E+05
2013,5,1422646,78698.8
2013,6,1268996,-10226.45
2013,7,1269998,-36067.57
2013,8,1406664,-24168.95
2013,9,1390725,-29437.57
2013,10,1677346,78672.93
2013,11,1804042,24377.8
2013,12,2031178,-81848.99
2014,1,1648809,3756.016
2014,2,2072297,245355.4
2014,3,2474818,552346.8
2014,4,1732080,56560.02
2014,5,1474649,-56634.1
2014,6,1373673,-92885.35
2014,7,1392246,-101155.5
2014,8,1536615,-81553.85
2014,9,1445826,-161672.5
2014,10,1594143,-191866
2014,11,1795493,-171507.1
2014,12,2299619,-743.8906
2015,1,1761703,-63846.65
2015,2,1846708,-160730.2
2015,3,1999541,-103426.9
2015,4,1696255,-159761.7
2015,5,1569096,-142683.8
2015,6,1517014,-130041
2015,7,1587710,-86188.14
2015,8,1734239,-64426.52
2015,9,1785086,-2909.14
2015,10,1967570,1064.36
2015,11,2234871,87374.23
2015,12,3306435,825575.4
2016,1,2538652,1573268
2016,2,2603227,1455955
2016,3,2507513,1264711
2016,4,2134410,1138559
2016,5,1859080,1007466
2016,6,2121693,1334804
2016,7,2185520,1371788
2016,8,1835093,896593.1
2016,9,1981896,1054067
2016,10,2324740,1218400
2016,11,2552584,1265253
2016,12,2761141,1140447
